Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-BH-A1FB-01A-11R-A13Q-07,0.244720043903227,0.0480755048705354,0.0527751060838775,0.303929526666835,0,0.546825727583047,0.102951510584834,0.233904046557634,0.0762763461018541,0,0.0206073041331686,0,0.0333615455933334,0.117964662709903,0.204522023348977,0.220695671818286,0.13810235827663,0,0.25792560546149,0,0,0.013823429325066,0,0.511873466586817,0.863009970253919,2.6164604130187
TCGA-D8-A1Y3-01A-11R-A157-07,0.0510190450525815,0.0166203460698145,0.0162683852952774,0.113610603058851,0,0.0189002625109958,0.0532498054283851,0.113726905481298,0.0481558625649771,0.0135178785990662,0,0.0189990760312438,0.0161860965393414,0.152887634063334,0.0737704016596001,0.366148189515495,0.0283945855491853,0.000991799851294567,0.130273624192329,0,0,0.0231551521270721,0,0.692202862659543,0.776873722184778,1.25587565359014
TCGA-BH-A0HF-01A-11R-A056-07,0.0789196151461871,0,0.0454884966819621,0.0909965619909183,0,0.103618560173658,0.00157201046719787,0.0903279160532171,0.063554182815003,0.0221274138991659,0,0.00931782165989268,0,0.538509712593175,0.119331506943531,0.182195391381651,0.0479663014261375,0,0.128943106058198,0,0,0.0080612970735406,0,0.599518092272363,0.810535970406073,1.53092989436344
TCGA-A2-A3XV-01A-21R-A239-07,0.0269194628297946,0,0.0230931982803919,0.0665022432277207,0,0.0272215201766591,0,0.0573463069458959,0.0557400548760118,0,0,0.0264179232579087,0.0211086835703327,0.0914972532190532,0.0459331736541391,0.161102130861646,0.0099946242457799,0,0.0225063916788243,0.0109748705145881,0.00154955839731156,0.00125835191609807,0,0.681773095883132,0.775690975233878,0.649165747652155
TCGA-A2-A1G0-01A-11R-A13Q-07,0.216467283291444,0,0.262290176419001,0.143896923861435,0,0.491965777263379,0,0.0498954632299558,0.00921849284340796,0,0,0.0219943358916482,0.0452845461976368,0,0.139474678729791,0.215373334398486,0.192789709563045,0,0.0972292412543913,0.0117330568050774,0,0.0035630166864816,0,0.506955962646945,0.864972375024553,1.90117603643518
TCGA-BH-A1FJ-01A-11R-A13Q-07,0.0459381072639782,0,0.029697637306442,0.0411701488768051,0,0.0620547149661499,0,0.057519523248389,0.0263201069134281,0.00272900848280641,0,0.0136186217473032,0.0276417699904229,0.161944866080735,0.0222536280076025,0.206242146080292,0.0206869301222652,0.0940186027262588,0.0529912572105619,0,0.0136925126707955,0.00763763160659745,0,0.536132040012425,0.852177035084785,0.886157213300833
TCGA-AR-A0U3-01A-11R-A109-07,0.057393689418334,0,0.0483214845841215,0.0870858866109071,0,0.138246791038766,0.0228611979663757,0.0585818654919225,0.0737731890980221,0,0.0154283135097481,0,0.00210353723299476,0.228432761959871,0.0943457753018768,0.164352790493771,0.0301558424918179,0.0028102767850288,0.0759749330659989,0,0,0.000244386893619993,0,0.742414078577635,0.74317632382488,1.10011272194318
TCGA-D8-A1XD-01A-11R-A14D-07,0.095160727967829,0,0.150298659197005,0.0318375890078816,0,0.132124349246336,0.00515799682339376,0.0114589701214322,0.0182312043949689,0,0.0164408639299483,0,0,0.16244520160593,0.0426340593027202,0.1612125900598,0.0105519540817307,0,0.0761546553978413,0.00142461765270154,0,0.00291353305088136,0,0.600079855156226,0.816886736784344,0.918046971840399
TCGA-AR-A24Z-01A-11R-A169-07,0.0768515318664776,0,0.052467985736906,0.0384675815015353,0,0.159333460818261,0.011240507612903,0.0584679284752878,0.0351863346892989,0.00841048759817038,0.0205952936287492,0,0,0.270274799453478,0.0534727775816667,0.303132615184079,0,0.0103296047743137,0.0251982400078496,0,0.00022847908810099,0.00206160394883077,0,0.654571413761805,0.782922350158986,1.12571923196591
TCGA-LL-A73Y-01A-11R-A33J-07,0.238839462330981,0,0.0700471876382672,0.110747750000009,0,0.326187578938363,0.0356422651639776,0.165229710283238,0.227322552614042,0,0,0.0703534611673642,0.00972839400555406,0.463875484775876,0.0937934174020031,0.136037663056386,0.229399447191296,0.0779243529363159,0.0702186933832643,0,0,0,0,0.574613355329678,0.832387775615897,2.32534742088694
TCGA-D8-A1XT-01A-11R-A14M-07,0.0398588292454984,0,0.00790855543229472,0.0486840593834652,0,0.175551951508149,0.0506289620699351,0.077769652178884,0.0275276593077826,0.00594298773474772,0.0257821389567845,0,0.00630326263289982,0.493317756266387,0.169631623217454,0.361916115063974,0,0.0269233377736484,0.049909504854256,0,0,0.00230849328167269,0,0.788011288629535,0.681871383928931,1.56996488890783
